sentence,label
struggle tragically ,0
affirming ' ,1
in jerking off in all its byzantine incarnations to bother pleasuring its audience ,0
here is doa . ,0
"charming , funny and beautifully ",1
"referred to in the title , many can aspire but none can equal ",0
", jackass lacks aspirations of social upheaval . ",0
agony ,0
", populating its hackneyed and meanspirited storyline with cardboard characters and performers who value cash above credibility . ",0
the cast is top-notch and ,1
can not guess why the cast and crew did n't sign a pact to burn the negative and the script and pretend the whole thing never existed ,0
precious and finely cut diamond ,1
exceptional honesty ,1
"an unusually dry-eyed , even analytical approach to material that is generally ",1
"of the road , where the thematic ironies are too obvious and the sexual politics too smug ",0
an intelligent person is n't necessarily an admirable storyteller . ,0
to lead a group of talented friends astray ,0
's kind of sad that so many people put so much time and energy into this turkey ,0
that portrays the frank humanity of ... emotional recovery ,1
one well-timed explosion in a movie can be a knockout ,1
"to the filmmaker 's extraordinary access to massoud , whose charm , cultivation and devotion to his people are readily apparent ",1
"nurtures the multi-layers of its characters , allowing us to remember that life 's ultimately a gamble and last orders are to be embraced ",1
"dumb , narratively chaotic ",0
unusual but pleasantly haunting debut ,1
interested ,1
the pathetic idea ,0
was any doubt that peter o'fallon did n't have an original bone in his body ,0
"some blondes , ( diggs ) should be probing why a guy with his talent ended up in a movie this bad . ",0
say something about its subjects ,1
", gut-clutching piece ",1
a backseat in his own film ,0
", lawrence desperately looks elsewhere , seizing on george 's haplessness and lucy 's personality tics . ",0
"which becomes something about how lame it is to try and evade your responsibilities and that you should never , ever , leave a large dog alone with a toddler ",0
"that the film makes the viewer feel like the movie 's various victimized audience members after a while , but it also happens to be the movie 's most admirable quality ",1
a very moving and revelatory footnote to the holocaust ,1
"what 's surprising about this traditional thriller , moderately successful but not completely satisfying , is exactly how genteel and unsurprising the execution turns out to be . ",1
directed and suffers from the addition of a wholly unnecessary pre-credit sequence designed to give some of the characters a ` back story ,0
about one in three gags in white 's intermittently wise script hits its mark ; the rest are padding unashamedly appropriated from the teen-exploitation playbook ,0
a fine production with splendid singing ,1
playful spirit ,1
a crowdpleaser ,1
watch these two together again ,1
"it may not be a huge cut of above the rest , but i enjoyed barbershop ",1
other hallmarks of his personal cinema painted on their largest-ever historical canvas ,1
well-put-together piece ,1
", and enjoyable ",1
the insipid script ,0
somebody might devote time to see it ,0
their charisma ,1
most impressive ,1
kind ,1
unsettled ,0
a highly gifted 12-year-old ,1
"some cute moments , funny scenes , and ",1
its chosen topic ,0
glum as mr. de niro ,0
as darkly funny ,1
"clumsy dialogue , heavy-handed phoney-feeling sentiment ",0
its core ,1
"offbeat humor , amusing characters , and ",1
"what 's most offensive is n't the waste of a good cast , ",0
it 's a compelling and horrifying story ,1
merely pretentious -- ,0
as fascinating ,1
visualize schizophrenia ,0
random glass-shattering ,0
arrogant richard pryor wannabe ,0
completely creatively stillborn and executed in a manner that i 'm not sure could be a single iota worse ... a soulless hunk of exploitative garbage . ,0
they may be as history ,0
", the effect comes off as self-parody . ",0
this is beautiful filmmaking from one of french cinema 's master craftsmen . ,1
is to skip the film and pick up the soundtrack ,0
"is not so much a work of entertainment as it is a unique , well-crafted psychological study of grief . ",1
rethink their attitudes when they see the joy the characters take in this creed ,1
"is serene , the humor wry and sprightly ",1
the the wisdom and humor ,1
"portrays young brendan with his usual intelligence and subtlety , not to mention a convincing brogue ",1
edge to it ,1
unfaithful ' cheats on itself and retreats to comfortable territory . ,0
has worked wonders with the material ,1
birthday girl walks a tricky tightrope between being wickedly funny and just plain wicked . ,1
sucks you in and ,1
pollute the summer movie pool ,0
frightful vanity film ,0
"is , quite pointedly , ",1
a sketchy work-in-progress ,0
the most horrific movie experience i 've had since `` ca n't stop the music . '' ,0
's all the stronger because of it ,1
too busy ,0
"will please eastwood 's loyal fans -- and suits the story , wherein our hero must ride roughshod over incompetent cops to get his man ",1
a must-see for fans of thoughtful war films and those interested in the sights and sounds of battle . ,1
the week blown up for the big screen ,0
no reason to truly care for its decrepit freaks beyond the promise of a reprieve from their incessant whining ,0
a film so unabashedly hopeful that it actually makes the heart soar ,1
than either of those films ,0
zips along with b-movie verve while adding the rich details and go-for-broke acting that heralds something special . ,1
to escape the shackles of its own clichés to be the best espionage picture to come out in weeks ,1
is easy to take this film at face value and enjoy its slightly humorous and tender story ,1
submarine movie ,1
"driven by a fantastic dual performance from ian holm ... the film is funny , insightfully human and a delightful lark for history buffs ",1
by the sea would slip under the waves . ,0
"you can fire a torpedo through some of clancy 's holes , ",0
that the theme does n't drag an audience down ,1
"gritty , sometimes funny ",1
"reeked of a been-there , done-that sameness ",0
"would be hard-pressed to find a movie with a bigger , fatter heart than barbershop . ",1
"beautifully illuminates what it means sometimes to be inside looking out , and at other times outside looking in . ",1
sure mainstream audiences will be baffled ,0
's always disappointing ,0
a fine job ,1
it were any more of a turkey ,0
worth seeing just for weaver and lapaglia . ,1
warm up to ,1
humorless ,0
unflattering comparisons ,0
"formulaic , its plot and pacing typical hollywood war-movie stuff , while the performances elicit more of a sense of deja vu than awe ",0
the dispatching of the cast is as often imaginative as it is gory ,1
the difference between cho and most comics is that her confidence in her material is merited . ,1
a dreadful day in irish history ,0
a serious movie with serious ideas . ,1
a persuasive ,1
priggish ,0
"unlike most anime , whose most ardent fans outside japan seem to be introverted young men with fantasy fetishes , metropolis never seems hopelessly juvenile . ",1
comes off as self-parody . ,0
target audience has n't graduated from junior high school ,0
scare ,0
"display than a movie , which normally is expected to have characters and a storyline ",0
"ends up being neither , and fails at both endeavors . ",0
"a sappy , preachy one at that ",0
stink bomb . ,0
is simple but absorbing ,1
two not very absorbing characters ,0
", it could be a lot better if it were , well , more adventurous . ",0
like those d.w. griffith made in the early days of silent film ,1
won -- ,1
are terribly wasted . ,0
tastelessness ,0
"the movie eventually gets around to its real emotional business , striking deep chords of sadness . ",1
"invigorating , surreal , and resonant with a rainbow of emotion ",1
scarily funny ,1
left me ,0
of fun ,1
marks a return to form for director peter bogdanovich ,1
is a shrewd and effective film from a director who understands how to create and sustain a mood ,1
", the four feathers comes up short ",0
should be probing why a guy with his talent ended up in a movie this bad ,0
of smart jokes ,1
in insignificance ,0
"seems content to dog-paddle in the mediocre end of the pool , and it 's a sad , sick sight ",0
the most original american productions this year ,1
", there 's apparently nothing left to work with , sort of like michael jackson 's nose . ",0
shines bright on this frozen tundra soap opera that breathes extraordinary life into the private existence of the inuit people ,1
no psychology ,0
"uncharted depths of stupidity , incoherence and sub-sophomoric sexual banter ",0
like a promising work-in-progress ,1
britney spears has popped up with more mindless drivel ,0
... is so intimate and sensual and funny and psychologically self-revealing that it makes most of what passes for sex in the movies look like cheap hysterics . ,1
checkout ,1
grow increasingly disturbed ,0
an absolute joy ,1
"assembles a fascinating profile of a deeply humanistic artist who , in spite of all that he 's witnessed , remains surprisingly idealistic , ",1
dead bodies ,0
make for some robust and scary entertainment . ,1
the best straight-up ,1
as dahmer ,0
"combined with so much first-rate talent ... could have yielded such a flat , plodding picture ",0
an unlimited amount of phony blood ,0
loved the people onscreen ,1
"would 've been nice if the screenwriters had trusted audiences to understand a complex story , and left off the film 's predictable denouement . ",0
"'s an exhilarating place to visit , this laboratory of laughter ",1
heavyweights joel silver and robert zemeckis ,1
and he allows a gawky actor like spall -- who could too easily become comic relief in any other film -- to reveal his impressively delicate range . ,1
"arrive early and stay late , filling nearly every minute ... with a lighthearted glow , some impudent snickers , and a glorious dose of humankind 's liberating ability to triumph over a scrooge or two ",1
"an odd , haphazard , and inconsequential romantic comedy . ",0
's contrived and predictable ,0
if you 're looking for something new and hoping for something entertaining ,1
the film 's unhurried pace is actually one of its strengths . ,1
really a true `` us '' versus `` them '' ,1
overwrought comedy/drama ,0
the stunt-hungry dimwits ,0
a genuine love story ,1
to heroes the way julia roberts hands out awards -- with phony humility barely camouflaging grotesque narcissism ,0
"will keep you watching , as will the fight scenes ",1
that not only blockbusters pollute the summer movie pool ,0
a great team ,1
"this is a dark , gritty , sometimes funny little gem . ",1
good and ambitious ,1
like locusts in a horde these things will keep coming ,0
an ambitious movie ,1
balances both traditional or modern stories together in a manner that one never overwhelms the other . ,1
is sickly entertainment at best and mind-destroying cinematic pollution at worst ,0
an uncomfortable experience ,0
"this simple , sweet and romantic comedy ",1
the precision of the insurance actuary ,1
feel very much like a brand-new tomorrow ,1
desperate for attention it nearly breaks its little neck trying to perform entertaining tricks ,0
exceedingly rare ,1
a crisp psychological drama ,1
"a deftly entertaining film , smartly played and smartly directed . ",1
the sally jesse raphael atmosphere ,0
"bogdanovich puts history in perspective and , via kirsten dunst 's remarkable performance , he showcases davies as a young woman of great charm , generosity and diplomacy ",1
the dispassionate gantz brothers ,0
there 's no conversion effort ,0
it 's better than the phantom menace . ,1
"( t ) his slop does n't even have potential as a cult film , as it 's too loud to shout insults at the screen . ",0
"a hopeless , unsatisfying muddle ",0
"( who is always a joy to watch , even when her material is not first-rate ) ",1
"though it goes further than both , anyone who has seen the hunger or cat people will find little new here , but a tasty performance from vincent gallo lifts this tale of cannibal lust above the ordinary . ",1
it trusts the story it sets out to tell . ,1
tiny little jokes and nary an original idea ,0
"ripe recipe , inspiring ",1
serenity and discipline ,1
forced funniness ,0
with solid performances and eerie atmosphere ,1
above-average thriller ,1
feeling guilty ,0
steals the show without resorting to camp as nicholas ' wounded and wounding uncle ralph . ,1
"the marvelous verdu , a sexy slip of an earth mother who mourns her tragedies in private and embraces life in public ",1
becomes more and more frustrating ,0
a rather bland affair . ,0
asks you to not only suspend your disbelief but your intelligence as well ,0
by drawing me into the picture ,1
the self-destructiveness of many young people ,0
a phony relationship ,0
better thriller ,1
do n't manage an equally assured narrative coinage ,0
uncanny ,1
is so thoughtlessly assembled . ,0
`` home movie '' is a sweet treasure and something well worth your time . ,1
to say that this vapid vehicle is downright doltish and uneventful ,0
"some very good comedic songs , strong finish ",1
deftly sewing together what could have been a confusing and horrifying vision into an intense and engrossing head-trip ,1
"sucks , but has a funny moment or two ",0
will create enough interest to make up for an unfocused screenplay ,1
problematic ,0
leaving you with some laughs and a smile on your face ,1
"new , or inventive , ",1
extremely talented musicians ,1
"... with the gifted pearce on hand to keep things on semi-stable ground dramatically , this retooled machine is ultimately effective enough at achieving the modest , crowd-pleasing goals it sets for itself . ",1
fiercely intelligent and ,1
to escape from director mark romanek 's self-conscious scrutiny ,0
remove spider-man the movie from its red herring surroundings and it 's apparent that this is one summer film that satisfies . ,1
"be going through the motions , beginning with the pale script ",0
turned down ,0
"worse , routine ",0
"'s not enough substance here to sustain interest for the full 90 minutes , especially with the weak payoff ",0
a kingdom ,1
"to the actors ' perfect comic timing and sweet , genuine chemistry ",1
"mind-numbingly , indescribably bad ",0
kid-empowerment ,1
energy and innovation ,1
tiny acts of kindness make ordinary life survivable ,1
exasperated ,0
ca n't help but feel ` stoked . ' ,1
nothing we have n't seen before from murphy ,0
"'s tough to tell which is in more abundant supply in this woefully hackneyed movie , directed by scott kalvert , about street gangs and turf wars in 1958 brooklyn -- stale cliches , gratuitous violence , or empty machismo ",0
a film that relies on personal relationships ,1
ambitiously naturalistic ,1
the right choices at every turn ,1
valuable ,1
undeniably touched ,1
month ,1
a career-defining revelation ,1
darling ,1
enough to keep you interested without coming close to bowling you over . ,1
really bad blair witch project ,0
it is an uneven film for the most part ,0
one of the greatest films ,1
is a convincing one ,1
is an interesting character ,1
directed without the expected flair or imagination ,0
shoot themselves ,0
is unfocused ,0
is a case of too many chefs fussing over too weak a recipe ,0
sleep ,0
"if somewhat standardized , ",1
"is a convincing one , and ",1
in an intricate plot ,1
the script 's endless assault ,0
for something new ,1
"there 's not an original character , siuation or joke in the entire movie ",0
"whose real-life basis is , in fact , so interesting that no embellishment is ",1
"from its recovery of an historical episode that , in the simple telling , proves simultaneously harrowing and uplifting ",1
any scorsese has ever given us ,1
an overripe episode of tv 's dawson 's creek and ,0
to scale the lunatic heights of joe dante 's similarly styled gremlins ,1
above much of the director 's previous popcorn work ,1
schmucks ,0
to a satisfying crime drama ,1
"you have some idea of the glum , numb experience of watching o fantasma ",0
"slack and uninspired , and peopled mainly by characters so unsympathetic that you 're left with a sour taste in your mouth . ",0
"dip into your wallet , swipe 90 minutes of your time , ",0
makes barbershop so likable ,1
"there 's a delightfully quirky movie to be made from curling , ",1
empty ,0
"as an evil , monstrous lunatic ",0
of its grand locations ,1
offers nothing ,0
rigid and evasive in ways ,0
"an unusually dry-eyed , even analytical approach to material that is generally played for maximum moisture . ",1
burnt out ,0
enjoyable ... ,1
is genuinely witty ,1
the story is just too clichéd and too often strains credulity ,0
mr. polanski is in his element here ,1
overused cocktail ,0
"is a little scattered -- ditsy , even . ",0
the slack complacency of ( godard 's ) vision ,0
"( davis ) wants to cause his audience an epiphany , yet he refuses to give us real situations and characters . ",0
's really nothing more than warmed-over cold war paranoia ,0
too polite to scale the lunatic heights of joe dante 's similarly styled gremlins ,0
is simply a lazy exercise in bad filmmaking that asks you to not only suspend your disbelief but your intelligence as well . ,0
garde ,0
capturing the innocence and idealism of that first encounter ,1
is cinema ,1
convincing as this bland blank of a man with unimaginable demons ,0
but darned if it does n't also keep us riveted to our seats . ,1
added clout ,1
directs the pianist like a surgeon mends a broken heart ; very meticulously but without any passion . ,0
"it is about irrational , unexplainable life and it seems so real because it does not attempt to filter out the complexity . ",1
"allowing us to find the small , human moments , and leaving off with a grand whimper ",1
to take us on his sentimental journey of the heart ,1
insignificance ,0
lacks the inspiration of the original and has a bloated plot that stretches the running time about 10 minutes past a child 's interest and an adult 's patience ,0
voyeuristic spectacle ,1
look like a masterpiece ,1
is such a mesmerizing one ,1
"in the director 's cut , the film is not only a love song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes . ",1
"of a movie so sloppy , so uneven , so damn unpleasant that i ca n't believe any viewer , young or old , ",0
suffers from over-familiarity since hit-hungry british filmmakers ,0
has one very funny joke and a few other decent ones ,1
"below may not mark mr. twohy 's emergence into the mainstream , ",0
"littered with zero-dimensional , unlikable characters and hackneyed , threadbare comic setups ",0
"'ve never seen ( a remake ) do anything as stomach-turning as the way adam sandler 's new movie rapes , pillages and incinerates frank capra 's classic ",0
has several strong performances . ,1
stick figures reading lines from a teleprompter ,0
a hilarious ode to middle america and middle age with this unlikely odyssey ,1
humorous and ,1
an honored screen veteran and a sparkling newcomer who instantly transform themselves into a believable mother/daughter pair ,1
lies in the utter cuteness of stuart and margolo . ,1
covered earlier and much better ,0
gory as the scenes of torture and self-mutilation ,0
bad movies ,0
both exude an air of dignity that 's perfect for the proud warrior that still lingers in the souls of these characters . ,1
nothing funny in this every-joke-has - been-told-a - ,0
"well , i 'm not exactly sure what -- and has all the dramatic weight of a raindrop ",0
"the high-concept scenario soon proves preposterous , the acting is robotically italicized , and truth-in-advertising hounds take note : there 's very little hustling on view ",0
of flatly ,0
